player_id,player,team,league,position,role,minutes,cluster,archetype,pc1,pc2,fit,pct_goals_p90,pct_assists_p90,pct_xg_p90,pct_xa_p90,pct_shots_p90,pct_key_passes_p90,pct_big_chances_created_p90,pct_dribbles_p90,pct_final_third_passes_p90,pct_tackles_won_p90,pct_interceptions_p90,pct_recoveries_p90,pct_clearances_p90,pct_aerials_won_p90
1398511,Adama Boiro,Athletic Club,La Liga,Defender,Defenders,819,7,Defensive full-back,3.0452,0.8918,0.3263,27.1,23.7,5.2,51.4,14.5,40.1,14.8,85.2,80.1,79.5,98.1,62.1,15.8,37.2
959872,Aitor Paredes,Athletic Club,La Liga,Defender,Defenders,1629,2,Stopper centre-back,3.1327,-0.8241,0.355,91.5,23.7,70.0,34.7,70.0,24.6,43.5,30.3,25.2,15.8,92.7,61.2,55.2,59.6
2110897,Alejandro Rego Mora,Athletic Club,La Liga,Midfielder,Midfielders,1266,3,Ball-winning midfielder,0.8674,2.3103,0.3405,48.1,44.7,21.8,56.4,37.0,37.9,33.1,51.0,23.9,75.7,97.9,75.7,42.4,59.3
866810,Andoni Gorosabel,Athletic Club,La Liga,Defender,Defenders,1359,7,Defensive full-back,1.7772,0.9458,0.364,27.1,66.2,19.2,81.7,27.8,87.4,67.2,81.7,74.4,89.0,55.5,24.0,21.8,20.2
149734,Aymeric Laporte,Athletic Club,La Liga,Defender,Defenders,2060,2,Stopper centre-back,3.372,-1.063,0.5815,27.1,55.2,76.7,14.5,63.7,37.9,39.1,17.0,28.7,20.5,59.0,59.9,74.8,83.0
910978,Dani Vivian,Athletic Club,La Liga,Defender,Defenders,2563,7,Defensive full-back,3.1974,-0.0526,0.4071,63.9,23.7,53.8,31.9,57.4,22.4,62.5,33.8,31.2,70.7,61.2,82.0,67.5,31.9
605672,Gorka Guruzeta,Athletic Club,La Liga,Forward,Attackers,2371,5,Clinical finisher,-2.5986,-3.6223,0.3915,74.5,58.0,76.5,30.4,88.2,40.0,63.5,7.5,32.5,13.3,64.3,22.0,37.6,89.0
783374,Iñaki Williams,Athletic Club,La Liga,Midfielder,Attackers,2168,1,Wide dribbler,-2.8183,-1.5841,0.2802,32.2,87.8,53.7,67.5,62.0,48.2,71.8,18.8,47.8,24.3,51.4,38.0,29.8,65.9
96365,Iñigo Ruiz de Galarreta,Athletic Club,La Liga,Midfielder,Midfielders,2231,4,Creative playmaker,-0.7468,3.9129,0.2368,33.3,49.0,10.7,77.0,34.2,66.7,68.3,88.9,80.2,74.1,58.4,99.6,24.3,60.9
910267,Jesús Areso,Athletic Club,La Liga,Defender,Defenders,1513,0,Progressive wing-back,1.7937,0.4575,0.3351,27.1,62.8,8.4,74.0,11.0,93.7,77.9,82.6,70.3,43.8,56.5,37.5,32.8,68.5
1495844,Mikel Jauregizar,Athletic Club,La Liga,Midfielder,Midfielders,2843,3,Ball-winning midfielder,0.7614,2.1958,0.3653,44.9,14.6,33.7,47.7,59.7,45.3,21.4,19.8,61.3,78.2,90.1,84.0,24.7,74.9
359742,Mikel Vesga,Athletic Club,La Liga,Midfielder,Midfielders,459,3,Ball-winning midfielder,1.6651,3.3994,0.1943,13.8,14.6,11.9,16.5,16.9,38.7,9.9,89.3,69.1,97.1,97.5,99.2,75.7,94.2
1019318,Nico Serrano,Athletic Club,La Liga,Midfielder,Attackers,365,6,Creative forward,-4.3253,0.5428,0.2198,53.3,12.0,28.6,93.7,97.3,96.9,60.4,81.6,87.8,89.0,69.0,86.3,24.7,34.5
1085400,Nico Williams,Athletic Club,La Liga,Midfielder,Attackers,1687,6,Creative forward,-4.8412,0.0873,0.2484,65.1,69.8,57.3,95.3,66.3,82.7,64.1,98.0,72.9,32.5,55.3,90.2,23.9,30.2
966801,Oihan Sancet,Athletic Club,La Liga,Midfielder,Midfielders,1803,4,Creative playmaker,-1.5085,-0.2635,0.2155,81.5,14.6,97.1,47.3,93.4,70.4,9.9,65.4,51.0,17.3,3.7,11.9,5.3,55.6
944165,Robert Navarro,Athletic Club,La Liga,Midfielder,Attackers,1311,1,Wide dribbler,-3.2389,-0.7293,0.3112,78.4,37.5,55.3,67.8,16.1,77.3,67.1,76.1,80.4,47.5,66.7,68.2,33.3,38.8
1391375,Unai Gómez,Athletic Club,La Liga,Midfielder,Midfielders,949,3,Ball-winning midfielder,-0.7667,-0.5871,0.2247,58.4,54.3,86.6,55.1,90.1,34.2,9.9,44.9,9.5,18.5,1.2,3.3,11.5,80.2
807648,Yeray Álvarez,Athletic Club,La Liga,Defender,Defenders,514,2,Stopper centre-back,3.8707,0.2305,0.2127,27.1,23.7,25.9,40.4,10.7,59.6,14.8,4.7,59.0,0.6,99.7,90.9,78.2,38.2
84531,Yuri Berchiche,Athletic Club,La Liga,Defender,Defenders,2709,0,Progressive wing-back,1.1741,1.3701,0.3613,27.1,96.5,22.4,94.6,78.2,83.3,87.7,53.6,89.9,42.9,65.0,87.4,40.7,68.1
592012,Álex Berenguer,Athletic Club,La Liga,Midfielder,Attackers,2164,6,Creative forward,-3.0878,0.252,0.2914,21.6,60.4,34.1,89.0,37.3,88.2,72.2,47.1,81.2,52.5,74.1,70.2,42.7,67.5
801837,Íñigo Lekue,Athletic Club,La Liga,Defender,Defenders,600,7,Defensive full-back,2.5088,0.6902,0.3002,27.1,23.7,23.3,30.4,41.0,13.6,14.8,85.8,44.8,83.3,14.5,98.7,20.2,0.3
824200,Ademola Lookman,Atlético Madrid,La Liga,Forward,Attackers,622,5,Clinical finisher,-4.5485,-2.4501,0.2116,92.2,12.0,97.3,76.1,84.7,67.1,71.2,50.2,70.2,28.6,19.2,62.0,1.6,20.4
910031,Alex Baena,Atlético Madrid,La Liga,Midfielder,Attackers,1572,6,Creative forward,-4.4205,1.6916,0.2316,30.2,73.3,16.1,98.8,28.6,98.0,98.8,38.8,89.8,42.7,94.1,61.6,38.8,28.6
309078,Alexander Sørloth,Atlético Madrid,La Liga,Forward,Attackers,1981,5,Clinical finisher,-2.1555,-5.3194,0.2856,92.5,12.0,84.3,20.8,85.9,7.1,24.7,14.9,32.9,19.6,2.0,6.3,77.3,96.5
85859,Antoine Griezmann,Atlético Madrid,La Liga,Forward,Attackers,1475,6,Creative forward,-5.1483,-0.5174,0.2604,79.2,87.1,84.7,92.5,79.2,86.3,94.1,21.2,87.1,40.4,68.2,69.4,47.1,40.4
580550,Clément Lenglet,Atlético Madrid,La Liga,Defender,Defenders,1393,2,Stopper centre-back,3.1613,-0.5236,0.4021,27.1,65.0,33.8,32.8,26.5,31.9,66.6,36.3,53.6,13.7,85.2,32.8,63.4,67.5
904970,Conor Gallagher,Atlético Madrid,La Liga,Midfielder,Midfielders,665,3,Ball-winning midfielder,0.0952,1.5712,0.3009,90.5,14.6,78.6,43.2,80.2,20.6,49.4,28.4,67.9,86.4,91.4,60.5,16.9,71.6
807771,Dávid Hancko,Atlético Madrid,La Liga,Defender,Defenders,2434,7,Defensive full-back,1.9807,-0.2051,0.372,27.1,69.7,60.6,73.5,76.0,55.5,71.0,49.5,75.4,50.8,21.5,30.0,47.6,53.9
1099352,Giuliano Simeone,Atlético Madrid,La Liga,Midfielder,Attackers,2109,6,Creative forward,-3.1483,0.8031,0.3012,41.6,89.8,43.5,87.1,21.2,62.4,83.5,63.9,82.4,82.7,89.8,87.8,22.7,60.4
990169,Johnny Cardoso,Atlético Madrid,La Liga,Midfielder,Midfielders,892,3,Ball-winning midfielder,1.9944,2.2975,0.2846,13.8,14.6,3.3,22.6,2.9,6.2,39.5,41.2,51.9,96.3,95.1,35.8,83.1,67.9
325355,José María Giménez,Atlético Madrid,La Liga,Defender,Defenders,1177,2,Stopper centre-back,3.0044,-0.9967,0.4231,27.1,70.7,97.2,41.0,89.9,7.6,53.6,28.1,49.2,41.0,69.4,49.2,65.9,85.5
1402990,Julio Díaz,Atlético Madrid,La Liga,Defender,Defenders,311,0,Progressive wing-back,-0.2006,1.8463,0.2405,27.1,98.9,9.8,88.3,23.0,98.1,91.8,99.4,55.8,35.6,64.7,67.8,0.3,7.9
944656,Julián Alvarez,Atlético Madrid,La Liga,Forward,Attackers,1902,6,Creative forward,-5.1913,-0.7142,0.3033,74.1,76.1,71.4,91.4,69.8,93.3,90.6,63.5,86.7,46.3,18.0,25.1,7.1,16.9
84539,Koke,Atlético Madrid,La Liga,Midfielder,Midfielders,2236,4,Creative playmaker,-0.8658,3.2446,0.2928,52.7,48.6,11.5,87.7,16.0,73.7,61.7,3.7,93.4,51.9,39.1,81.1,35.0,25.1
1094106,Marc Pubill,Atlético Madrid,La Liga,Defender,Defenders,1382,2,Stopper centre-back,3.4111,-1.0322,0.3728,77.0,65.3,67.7,46.2,69.7,19.1,50.2,45.7,35.3,46.7,76.7,64.7,74.4,95.9
353138,Marcos Llorente,Atlético Madrid,La Liga,Defender,Defenders,2184,0,Progressive wing-back,0.2667,2.1791,0.311,27.1,92.4,85.8,95.0,72.2,75.1,95.6,71.9,95.9,88.6,7.6,92.7,12.6,3.5
965011,Matteo Ruggeri,Atlético Madrid,La Liga,Defender,Defenders,1775,0,Progressive wing-back,1.0078,2.0926,0.3615,27.1,90.2,8.4,98.1,18.0,92.7,89.3,45.1,93.4,66.6,50.8,91.2,39.1,41.6
831799,Nahuel Molina,Atlético Madrid,La Liga,Defender,Defenders,1332,0,Progressive wing-back,0.2052,1.9926,0.3479,95.6,88.3,38.5,84.2,88.6,94.6,96.5,88.3,84.5,82.6,37.2,97.2,11.4,4.1
901325,Nicolás González,Atlético Madrid,La Liga,Midfielder,Midfielders,1460,3,Ball-winning midfielder,-1.1126,-0.3332,0.21,95.9,14.6,92.2,67.5,95.5,32.1,58.8,93.4,27.6,41.2,39.5,24.7,68.7,96.7
1119345,Obed Vargas,Atlético Madrid,La Liga,Midfielder,Midfielders,739,3,Ball-winning midfielder,0.7052,1.7857,0.2838,13.8,66.7,7.4,24.3,18.5,17.7,9.9,83.5,31.3,93.4,52.7,8.6,39.9,6.2
1142588,Pablo Barrios,Atlético Madrid,La Liga,Midfielder,Midfielders,1666,4,Creative playmaker,-0.7982,3.1786,0.2409,39.5,39.9,58.8,63.0,60.5,56.8,55.6,96.7,90.5,29.2,90.5,94.7,16.0,56.8
787751,Robin Le Normand,Atlético Madrid,La Liga,Defender,Defenders,1789,2,Stopper centre-back,3.4879,-1.3105,0.5465,71.9,58.7,38.0,17.4,24.3,8.5,41.0,11.4,22.9,45.1,49.5,15.1,66.9,82.3
1391752,Rodrigo Mendoza,Atlético Madrid,La Liga,Midfielder,Midfielders,1231,4,Creative playmaker,-1.0859,1.5134,0.3094,49.8,46.1,67.5,49.0,60.9,57.6,53.1,92.2,66.7,21.8,7.0,44.4,30.0,23.9
944660,Thiago Almada,Atlético Madrid,La Liga,Midfielder,Attackers,1312,6,Creative forward,-3.2816,1.0457,0.2578,47.1,37.5,50.2,82.4,15.3,85.5,66.7,70.6,95.7,89.4,75.1,92.5,18.4,24.3
785989,Borja Iglesias,Celta Vigo,La Liga,Forward,Attackers,1902,5,Clinical finisher,-3.0628,-3.8795,0.3172,95.3,48.6,87.5,32.2,51.0,29.0,34.5,23.9,27.8,16.5,4.7,23.1,47.8,51.0
1084730,Bryan Zaragoza,Celta Vigo,La Liga,Forward,Attackers,1135,1,Wide dribbler,-3.5665,-0.5389,0.2547,20.8,42.4,27.1,88.6,46.3,65.9,75.7,87.1,70.6,26.3,22.0,27.8,16.1,5.5
360718,Carl Starfelt,Celta Vigo,La Liga,Defender,Defenders,1493,2,Stopper centre-back,4.0408,-1.4292,0.4681,27.1,23.7,40.2,2.8,16.7,5.4,14.8,13.2,5.7,33.4,51.7,21.5,88.3,65.6
1069703,Carlos Domínguez,Celta Vigo,La Liga,Defender,Defenders,610,2,Stopper centre-back,3.7331,-1.0301,0.4215,27.1,23.7,80.4,7.3,23.7,12.6,14.8,4.7,30.9,63.7,24.9,54.3,85.5,70.0
1526628,Fer López,Celta Vigo,La Liga,Midfielder,Midfielders,1174,4,Creative playmaker,-1.1938,2.3134,0.3178,51.9,47.3,68.3,64.2,46.1,52.7,65.0,95.5,64.6,19.3,28.0,86.8,17.3,14.0
949962,Ferrán Jutglà,Celta Vigo,La Liga,Forward,Attackers,1669,5,Clinical finisher,-2.7599,-2.9312,0.3314,84.7,70.6,71.0,29.4,65.1,31.8,28.8,58.0,35.7,11.0,62.7,36.9,73.7,51.4
1120669,Hugo Sotelo,Celta Vigo,La Liga,Midfielder,Midfielders,1342,4,Creative playmaker,-0.8634,4.0074,0.2656,13.8,70.4,1.6,78.6,2.1,85.2,82.7,4.5,91.8,44.0,56.0,92.6,42.8,9.1
1154935,Hugo Álvarez,Celta Vigo,La Liga,Midfielder,Attackers,1343,1,Wide dribbler,-2.8783,-0.0043,0.273,56.9,63.9,33.7,58.8,3.5,78.4,78.8,53.3,93.3,45.1,84.7,44.3,32.2,4.3
19356,Iago Aspas,Celta Vigo,La Liga,Forward,Attackers,1155,6,Creative forward,-5.532,1.3317,0.249,75.7,84.3,69.4,97.6,51.4,96.5,97.6,45.5,98.8,68.8,95.3,65.9,4.3,16.5
962890,Ilaix Moriba,Celta Vigo,La Liga,Midfielder,Midfielders,2495,3,Ball-winning midfielder,0.4466,1.6444,0.3966,49.4,59.7,27.6,37.0,20.2,27.2,57.2,37.4,29.2,83.1,60.5,20.2,43.6,27.2
1526627,Javi Rodríguez,Celta Vigo,La Liga,Defender,Defenders,2561,7,Defensive full-back,2.5083,-0.4497,0.3432,27.1,52.4,30.1,33.3,41.6,43.1,52.1,48.6,79.2,33.1,40.5,8.8,42.0,25.6
1008259,Javier Rueda,Celta Vigo,La Liga,Midfielder,Defenders,1410,0,Progressive wing-back,-0.4275,1.473,0.2278,93.4,100.0,86.3,96.2,68.8,77.9,98.4,95.0,77.0,29.7,79.5,41.3,10.7,6.0
1173575,Jones El-Abdellaoui,Celta Vigo,La Liga,Forward,Attackers,683,1,Wide dribbler,-2.0738,-2.2069,0.3096,55.3,12.0,67.5,35.3,54.3,55.3,7.3,71.0,49.8,36.5,58.8,52.4,90.2,47.1
796320,Joseph Aidoo,Celta Vigo,La Liga,Defender,Defenders,639,2,Stopper centre-back,3.9084,-1.2431,0.3997,27.1,23.7,41.8,6.0,22.1,2.5,14.8,24.9,8.2,4.7,73.5,53.6,80.4,60.6
1630975,Manu Fernández,Celta Vigo,La Liga,Defender,Defenders,765,7,Defensive full-back,3.2537,-0.3247,0.4,27.1,23.7,7.3,8.5,15.8,44.2,14.8,21.5,33.8,55.8,42.9,58.4,52.1,18.9
