goals,assists,xg,xa,shots,key_passes,big_chances_created,dribbles,final_third_passes,tackles_won,interceptions,recoveries,clearances,aerials_won,minutes,appearances,player_id,player,slug,team,league,position,season,goals_p90,assists_p90,xg_p90,xa_p90,shots_p90,key_passes_p90,big_chances_created_p90,dribbles_p90,final_third_passes_p90,tackles_won_p90,interceptions_p90,recoveries_p90,clearances_p90,aerials_won_p90
0,0,0.43,0.16,2,0,0,1,33,5,4,30,20,9,482,6,149734,Aymeric Laporte,aymeric-laporte,Athletic Club,La Liga,Defender,2026/27,0.0,0.0,0.0803,0.0299,0.3734,0.0,0.0,0.1867,6.1618,0.9336,0.7469,5.6017,3.7344,1.6805
0,0,0.03,0.25,1,1,0,0,26,8,12,11,3,4,373,5,1171619,Beñat Gerenabarrena,benat-gerenabarrena,Athletic Club,La Liga,Midfielder,2026/27,0.0,0.0,0.0072,0.0603,0.2413,0.2413,0.0,0.0,6.2735,1.9303,2.8954,2.6542,0.7239,0.9651
0,2,1.74,0.08,12,5,1,4,13,4,1,7,1,5,392,6,783374,Iñaki Williams,inaki-williams,Athletic Club,La Liga,Midfielder,2026/27,0.0,0.4592,0.3995,0.0184,2.7551,1.148,0.2296,0.9184,2.9847,0.9184,0.2296,1.6071,0.2296,1.148
0,0,0.08,0.33,2,6,0,1,31,5,7,11,6,7,344,5,910267,Jesús Areso,jesus-areso,Athletic Club,La Liga,Defender,2026/27,0.0,0.0,0.0209,0.0863,0.5233,1.5698,0.0,0.2616,8.1105,1.3081,1.8314,2.8779,1.5698,1.8314
1,0,1.06,1.32,12,7,1,6,56,6,4,17,4,2,364,6,1085400,Nico Williams,nico-williams,Athletic Club,La Liga,Midfielder,2026/27,0.2473,0.0,0.2621,0.3264,2.967,1.7308,0.2473,1.4835,13.8462,1.4835,0.989,4.2033,0.989,0.4945
1,0,2.58,1.19,17,9,1,12,60,2,2,19,0,6,515,6,966801,Oihan Sancet,oihan-sancet,Athletic Club,La Liga,Midfielder,2026/27,0.1748,0.0,0.4509,0.208,2.9709,1.5728,0.1748,2.0971,10.4854,0.3495,0.3495,3.3204,0.0,1.0485
2,0,1.37,0.47,9,6,0,5,40,3,6,17,0,0,317,5,944165,Robert Navarro,robert-navarro,Athletic Club,La Liga,Midfielder,2026/27,0.5678,0.0,0.389,0.1334,2.5552,1.7035,0.0,1.4196,11.3565,0.8517,1.7035,4.8265,0.0,0.0
0,1,0.16,0.03,3,2,1,4,19,1,4,14,14,7,315,4,807648,Yeray Álvarez,yeray-alvarez,Athletic Club,La Liga,Defender,2026/27,0.0,0.2857,0.0457,0.0086,0.8571,0.5714,0.2857,1.1429,5.4286,0.2857,1.1429,4.0,4.0,2.0
0,0,0.26,0.35,11,6,1,1,56,7,4,27,7,4,367,5,84531,Yuri Berchiche,yuri-berchiche,Athletic Club,La Liga,Defender,2026/27,0.0,0.0,0.0638,0.0858,2.6975,1.4714,0.2452,0.2452,13.733,1.7166,0.9809,6.6213,1.7166,0.9809
1,0,1.17,0.64,10,12,1,4,58,3,0,10,0,0,460,7,824200,Ademola Lookman,ademola-lookman,Atlético Madrid,La Liga,Forward,2026/27,0.1957,0.0,0.2289,0.1252,1.9565,2.3478,0.1957,0.7826,11.3478,0.587,0.0,1.9565,0.0,0.0
2,1,2.11,0.47,10,3,2,11,82,9,4,20,10,4,535,6,177177,Alejandro Grimaldo,alex-grimaldo,Atlético Madrid,La Liga,Midfielder,2026/27,0.3364,0.1682,0.355,0.0791,1.6822,0.5047,0.3364,1.8505,13.7944,1.514,0.6729,3.3645,1.6822,0.6729
4,1,1.12,1.26,15,14,1,0,78,2,9,17,1,1,455,7,910031,Alex Baena,alex-baena,Atlético Madrid,La Liga,Midfielder,2026/27,0.7912,0.1978,0.2215,0.2492,2.967,2.7692,0.1978,0.0,15.4286,0.3956,1.7802,3.3626,0.1978,0.1978
0,2,0.37,0.43,8,3,2,7,61,4,9,23,25,8,549,7,807771,Dávid Hancko,david-hancko,Atlético Madrid,La Liga,Defender,2026/27,0.0,0.3279,0.0607,0.0705,1.3115,0.4918,0.3279,1.1475,10.0,0.6557,1.4754,3.7705,4.0984,1.3115
2,2,1.0,0.42,9,5,1,2,59,10,6,27,5,11,474,7,1099352,Giuliano Simeone,giuliano-simeone,Atlético Madrid,La Liga,Midfielder,2026/27,0.3797,0.3797,0.1899,0.0797,1.7089,0.9494,0.1899,0.3797,11.2025,1.8987,1.1392,5.1266,0.9494,2.0886
2,1,1.24,0.88,20,10,3,12,87,8,2,19,2,3,469,7,917087,Kang-in Lee,kang-in-lee,Atlético Madrid,La Liga,Midfielder,2026/27,0.3838,0.1919,0.238,0.1689,3.838,1.919,0.5757,2.3028,16.6951,1.5352,0.3838,3.6461,0.3838,0.5757
0,0,0.12,0.6,2,8,1,1,108,8,2,20,1,0,358,7,84539,Koke,koke,Atlético Madrid,La Liga,Midfielder,2026/27,0.0,0.0,0.0302,0.1508,0.5028,2.0112,0.2514,0.2514,27.1508,2.0112,0.5028,5.0279,0.2514,0.0
1,0,0.15,0.09,2,0,0,0,30,5,1,15,9,6,403,6,1094106,Marc Pubill,marc-pubill,Atlético Madrid,La Liga,Defender,2026/27,0.2233,0.0,0.0335,0.0201,0.4467,0.0,0.0,0.0,6.6998,1.1166,0.2233,3.3499,2.0099,1.34
