player_id,detailed
791,Central Midfield
17651,Central Midfield
19356,Centre-Forward
21555,Centre-Back
32048,Centre-Forward
33902,Centre-Forward
34120,Second Striker
35532,Centre-Forward
35612,Defensive Midfield
37318,Centre-Forward
39182,Central Midfield
41560,Attacking Midfield
41789,Centre-Forward
42694,Defensive Midfield
43215,Right-Back
44566,Right-Back
44614,Right-Back
44864,Centre-Back
48480,Central Midfield
50480,Centre-Forward
51498,Centre-Forward
53739,Right-Back
66492,Centre-Back
67769,Left-Back
68332,Defensive Midfield
69256,Right-Back
69408,Centre-Back
81992,Centre-Back
82566,Central Midfield
84531,Left-Back
84539,Central Midfield
84972,Centre-Forward
85859,Second Striker
88528,Centre-Back
96365,Central Midfield
96538,Left-Back
98435,Central Midfield
99090,Centre-Back
99519,Centre-Back
100578,Centre-Back
101882,Centre-Back
103417,Attacking Midfield
106337,Defensive Midfield
110783,Central Midfield
110846,Centre-Back
113956,Centre-Forward
115365,Centre-Back
115665,Centre-Forward
117777,Defensive Midfield
122810,Centre-Back
122951,Defensive Midfield
128587,Right-Back
128637,Right-Back
132645,Centre-Forward
135666,Left Winger
138383,Attacking Midfield
138572,Right-Back
138892,Right-Back
141832,Centre-Back
142622,Centre-Back
143047,Right-Back
143334,Centre-Back
145188,Centre-Back
146866,Centre-Forward
149370,Attacking Midfield
149380,Centre-Back
149606,Right-Back
149663,Centre-Back
149734,Centre-Back
150864,
151138,Right-Back
151545,Centre-Back
152077,Centre-Back
152446,Right-Back
159665,Right Winger
161717,Central Midfield
175185,Left Winger
175753,Centre-Forward
177177,Left-Back
186795,Centre-Back
187313,Defensive Midfield
188365,Right-Back
189061,Left Winger
190159,Centre-Forward
190405,Defensive Midfield
190839,Left-Back
190877,Right-Back
191182,Attacking Midfield
192442,Centre-Forward
193554,Central Midfield
218160,Right Winger
218616,Right Winger
219572,Right-Back
227922,Left-Back
235648,Right-Back
250223,Central Midfield
255999,Defensive Midfield
257091,Centre-Back
260031,Right-Back
262911,Left-Back
268903,Centre-Forward
280979,Left Winger
282229,Centre-Back
286165,Right Winger
286167,Central Midfield
287643,Left-Back
288205,Attacking Midfield
294593,Centre-Back
300522,Centre-Back
303638,Centre-Back
305278,Centre-Forward
307274,Centre-Back
307702,Centre-Back
309078,Centre-Forward
309546,Right Winger
310874,Centre-Forward
315916,Right-Back
316148,Defensive Midfield
318927,Centre-Back
318941,Centre-Back
319735,Right Winger
322391,Central Midfield
325355,Centre-Back
326471,Defensive Midfield
328145,Right Winger
329417,Right-Back
331209,Attacking Midfield
331737,Central Midfield
336655,Centre-Forward
340713,
344129,Centre-Forward
344751,Defensive Midfield
344797,
344847,Left-Back
345111,Centre-Back
345195,Centre-Forward
345333,Centre-Back
350560,Left-Back
352668,Centre-Back
352770,Left Winger
353138,Right-Back
353154,Central Midfield
355528,Right Winger
355796,Defensive Midfield
357598,Left Winger
359272,Defensive Midfield
359664,Centre-Forward
359742,Defensive Midfield
360718,Centre-Back
361352,Centre-Forward
361420,Centre-Forward
362682,Centre-Back
364612,Defensive Midfield
365812,Centre-Back
367228,Centre-Forward
371222,Central Midfield
372336,Right Winger
372344,Centre-Forward
385888,Central Midfield
542634,
547410,Attacking Midfield
547838,Central Midfield
548188,Central Midfield
552036,Central Midfield
552884,Right Winger
555386,Centre-Forward
560128,Central Midfield
560756,Centre-Back
576276,Centre-Back
576384,Centre-Back
580550,Centre-Back
588566,Central Midfield
591132,Right Winger
592010,Central Midfield
592012,Left Winger
593526,Right Winger
597876,Right-Back
599128,Left-Back
604954,Centre-Forward
605374,Left Winger
605672,Centre-Forward
605674,
606346,Centre-Back
609752,Defensive Midfield
754710,Centre-Forward
758664,Defensive Midfield
759520,Right-Back
780014,Right-Back
783126,Left Winger
783374,Right Winger
785468,Centre-Back
785989,Centre-Forward
786186,
787751,Centre-Back
788141,Central Midfield
788216,Right-Back
788784,Centre-Back
789071,Attacking Midfield
789381,Centre-Forward
791079,Central Midfield
791190,Defensive Midfield
791985,Left-Back
792122,Central Midfield
793167,Defensive Midfield
793988,Defensive Midfield
794338,Attacking Midfield
794839,Centre-Forward
794937,Central Midfield
794939,Left-Back
794953,Centre-Back
795064,Right-Back
795066,Right Winger
795222,Central Midfield
796320,Centre-Back
797290,Left-Back
797306,Centre-Back
798835,Attacking Midfield
799041,Defensive Midfield
799054,Central Midfield
799251,Central Midfield
800417,Right-Back
800419,Defensive Midfield
801837,Right-Back
803031,Centre-Back
803039,Centre-Forward
803174,Left-Back
803185,Centre-Forward
804508,Centre-Forward
805123,Centre-Forward
805137,Centre-Back
807116,Centre-Back
807648,Centre-Back
807771,Centre-Back
808590,Right Winger
808955,Right Winger
809276,Left Winger
811629,Central Midfield
813574,Centre-Back
814023,Centre-Back
814360,Left-Back
814385,Centre-Forward
814590,Left Winger
814873,Defensive Midfield
816763,Central Midfield
817979,Centre-Back
818986,Left-Back
822379,Defensive Midfield
822470,Right Winger
822519,Centre-Back
823085,Right-Back
823622,Centre-Forward
823941,Centre-Forward
824200,Left Winger
825133,Left-Back
825719,Centre-Back
825754,Centre-Forward
825844,Left-Back
826004,Central Midfield
826010,Central Midfield
826134,Centre-Back
826167,Centre-Back
826204,Defensive Midfield
826215,Centre-Back
826643,Centre-Forward
826948,Defensive Midfield
827064,Left Winger
827212,Right-Back
827243,Centre-Back
827504,Centre-Back
827587,
827606,Defensive Midfield
827679,Centre-Back
827681,Right-Back
828239,Left-Back
828639,Right Winger
828640,Centre-Back
829022,Centre-Back
829932,Centre-Back
830659,Centre-Back
831005,Left Winger
831253,Centre-Forward
831424,Left-Back
831799,Right-Back
831808,Central Midfield
832427,Central Midfield
833956,Right-Back
834308,Left-Back
835484,Central Midfield
835485,Right Winger
836168,Defensive Midfield
836675,Centre-Back
836694,Attacking Midfield
836698,Left-Back
836705,Centre-Forward
838159,Centre-Back
838399,Centre-Back
838629,Central Midfield
839585,Central Midfield
839956,Centre-Forward
839981,Attacking Midfield
840217,Centre-Forward
840951,Centre-Forward
842419,Right-Back
843200,Right-Back
843678,Central Midfield
843754,Defensive Midfield
844096,Right Winger
844752,Right-Back
844842,Defensive Midfield
845273,Central Midfield
845286,Right Winger
845385,Attacking Midfield
845386,Right Winger
845693,Attacking Midfield
846036,Right-Back
846252,Central Midfield
846308,Centre-Back
846425,Defensive Midfield
847030,Right-Back
847097,Defensive Midfield
847128,Defensive Midfield
848276,Centre-Forward
